TIME,T,year,month,day,R_Rf,R_Market,R_I_Aero,R_I_Guns,R_I_Steel,R_I_Ships,R_I_Beer,R_I_Toys,R_I_Fin,R_I_Rtail,R_I_Agric,R_I_Food,R_I_Soda,R_I_Smoke,R_I_Fun,R_I_Books,R_I_Hshld,R_I_Clths,R_I_Hlth,R_I_MedEq,R_I_Drugs,R_I_Chems,R_I_Rubbr,R_I_Txtls,R_I_BldMt,R_I_Cnstr,R_I_FabPr,R_I_Mach,R_I_ElcEq,R_I_Autos,R_I_Gold,R_I_Mines,R_I_Coal,R_I_Oil,R_I_Util,R_I_Telcm,R_I_PerSv,R_I_BusSv,R_I_Hardw,R_I_Softw,R_I_Chips,R_I_LabEq,R_I_Paper,R_I_Boxes,R_I_Trans,R_I_Whlsl,R_I_Meals,R_I_Banks,R_I_Insur,R_I_RlEst,R_I_Other,eR_Market,eR_I_Aero,eR_I_Guns,eR_I_Steel,eR_I_Ships,eR_I_Beer,eR_I_Toys,eR_I_Fin,eR_I_Rtail,eR_I_Agric,eR_I_Food,eR_I_Soda,eR_I_Smoke,eR_I_Fun,eR_I_Books,eR_I_Hshld,eR_I_Clths,eR_I_Hlth,eR_I_MedEq,eR_I_Drugs,eR_I_Chems,eR_I_Rubbr,eR_I_Txtls,eR_I_BldMt,eR_I_Cnstr,eR_I_FabPr,eR_I_Mach,eR_I_ElcEq,eR_I_Autos,eR_I_Gold,eR_I_Mines,eR_I_Coal,eR_I_Oil,eR_I_Util,eR_I_Telcm,eR_I_PerSv,eR_I_BusSv,eR_I_Hardw,eR_I_Softw,eR_I_Chips,eR_I_LabEq,eR_I_Paper,eR_I_Boxes,eR_I_Trans,eR_I_Whlsl,eR_I_Meals,eR_I_Banks,eR_I_Insur,eR_I_RlEst,eR_I_Other
1960m11,1960.915,1960,11,30,.0012992,.0470744,.0792732,,.0139029,.0594946,.064851,.1529786,.0578915,.0642885,.0522129,.0944917,,.0542041,.0968544,.12266,.0885602,.0322736,,.0836056,.0366212,.0428679,.0320799,.0214679,.0633503,.1126141,,.0807501,.052118,-.0028039,,.0727857,.0655068,.0328543,.0371994,.041046,.0708312,.042197,.0889262,,-.0023026,.078996,.0525925,.0529719,.0538251,.0939456,.0443039,.0844331,.0908457,.0837895,.0442083,.04577525,.07797403,,.01260375,.05819542,.06355181,.15167941,.05659232,.06298933,.05091372,.09319251,,.0529049,.09555529,.12136086,.08726102,.0309744,,.08230643,.03532203,.04156875,.03078074,.02016875,.06205116,.11131499,,.07945099,.0508188,-.00410308,,.07148652,.06420765,.03155518,.03590028,.03974681,.06953203,.04089789,.08762706,,-.0036018,.07769685,.0512933,.05167273,.05252593,.09264646,.04300477,.0831339,.08954653,.08249037,.0429091
1960m12,1961,1960,12,31,.0015987,.0475513,.0294617,,.0483139,.0140015,-.0015011,.0944917,.066443,.0219572,.0338215,.0465018,,.0363319,.0458334,.0749219,.019018,.0338215,,.0426763,.0615654,.0296559,.0509782,.006777,.0431553,.0470744,,.0483139,.0117309,-.0021022,,.0592119,.0172504,.0523078,.0622233,.1173385,.0844331,.0709243,.0641009,,.0677521,-.0091417,.0517382,.0558131,.0237165,.0219572,.0221528,.0396053,.0927615,.0364284,.0336282,.04595258,.02786299,,.04671514,.0124028,-.00309985,.09289294,.06484423,.02035845,.03222283,.04490311,,.03473321,.0442347,.07332321,.01741928,.03222283,,.04107755,.05996663,.02805716,.04937952,.00517826,.04155655,.04547569,,.04671514,.0101322,-.00370093,,.05761314,.01565163,.05070906,.06062462,.11573977,.08283434,.06932562,.0625022,,.06615338,-.01074038,.05013947,.05421434,.02211781,.02035845,.02055408,.03800653,.09116276,.03482964,.03202946
1961m1,1961.082,1961,1,31,.0018982,.0619414,.0541093,,.0814878,.0916672,.0527822,-.0343844,.0683126,.0244975,.0668172,.0463109,,.0858107,.0757566,.0933082,.0444952,.0594946,,.1493678,.052118,.0643823,.0608128,.1079571,.0530667,.1426274,,.0595888,-.004008,.0833296,,.0595888,.1048104,.0928526,.0474559,.075942,.0337249,.0701788,.0647572,,.0610951,.0165621,.0857189,.0457379,.0824091,.0780715,.0418135,.0822249,.0285875,.0712038,.0893836,.0600432,.05221113,,.07958962,.08976899,.05088399,-.03628263,.06641444,.02259927,.06491897,.0444127,,.08391246,.07385841,.09140998,.04259704,.05759638,,.14746964,.05021976,.06248406,.05891464,.10605894,.05116852,.1407292,,.05769059,-.00590622,.08143141,,.05769059,.10291217,.09095442,.04555775,.07404381,.03182667,.06828064,.06285905,,.0591969,.01466389,.08382068,.04383969,.08051094,.07617334,.03991531,.08032674,.02668926,.06930556,.08748537
1961m2,1961.159,1961,2,28,.001399,.0364284,.077609,,.0571362,.0083649,.079735,.2516144,.0533512,.0485044,.0111377,.0448778,,.0540146,.1220406,.0157749,.0586462,.0767758,,.1411523,.0433468,.0224462,.0963097,.0671912,.0470744,.0692462,,.0877361,-.0015011,.0426763,,-.0159262,.0896579,.0055844,.036139,.007472,.0172504,.0135084,.0634442,,.0322736,.0036932,.0905717,.0670042,.0427721,.0339182,.0803811,.0880109,.0263498,.1442735,.0438255,.03502934,.07620996,,.05573717,.0069659,.07833595,.25021537,.05195215,.04710539,.00973872,.04347874,,.05261557,.1206416,.0143759,.05724717,.07537682,,.13975326,.04194778,.02104717,.09491066,.06579223,.04567539,.06784715,,.08633709,-.00290015,.04127725,,-.01732517,.08825885,.00418536,.03474003,.00607299,.01585133,.01210933,.06204515,,.03087454,.00229415,.08917267,.06560521,.04137307,.0325192,.07898209,.08661185,.02495076,.14287447,.04242646
1961m3,1961.244,1961,3,31,.001998,.0304322,.022055,,.0201947,-.0023026,.0271287,.0329511,.0353671,.0584576,.0439212,.0474559,,.0563803,.1351426,.0483139,.0633503,.0322736,,.0202927,.0387398,.0111377,.110557,.0594003,.0241071,.0767758,,.0170538,.0313049,.0328543,,.0259601,-.0056157,.014593,.0173486,.0716693,-.013592,.052118,.0321767,,-.0137947,.0144944,-.0250102,-.0045102,.0104453,.0454513,.0417176,.0571362,.0073728,.1011115,.0519281,.02843421,.02005699,,.0181967,-.00430065,.02513066,.0309531,.03336914,.05645957,.04192318,.04545794,,.05438233,.13314459,.04631586,.06135231,.03027556,,.0182947,.03674183,.00913974,.10855898,.05740234,.02210907,.07477784,,.01505575,.02930685,.03085633,,.0239621,-.00761374,.012595,.01535064,.06967128,-.01558996,.05011995,.03017873,,-.01579271,.01249644,-.02700817,-.00650816,.00844725,.04345326,.03971959,.05513819,.00537475,.0991135,.04993009
1961m4,1961.326,1961,4,30,.0016986,.0045895,.0328543,,-.0145047,-.0142003,.015578,-.0438474,-.0086372,.0035935,-.0187752,-.0118702,,-.0006002,.0154796,-.0868659,.027907,.0273233,,-.0910194,.003992,-.0130852,.0054849,-.0527681,-.0368715,.0224462,,-.0217345,-.0238829,-.016841,,.0113355,.006777,.0472652,.0185273,.0079682,-.0178585,.0356567,.0284903,,-.0341775,.0233258,.0049875,-.0021022,-.0146062,.031983,.0430595,.0281014,.0247902,.0772388,-.055407,.0028909,.03115578,,-.01620324,-.01589891,.01387947,-.04554596,-.01033575,.00189498,-.02047371,-.01356873,,-.00229874,.01378101,-.08856449,.0262084,.02562474,,-.09271795,.00229346,-.0147838,.00378637,-.05446662,-.03857003,.02074763,,-.02343305,-.0255815,-.01853957,,.00963695,.00507843,.04556664,.01682875,.00626961,-.01955707,.03395812,.02679171,,-.03587601,.02162727,.00328898,-.00380076,-.01630471,.03028449,.04136093,.02640287,.02309161,.07554022,-.05710556
1961m5,1961.411,1961,5,31,.0017984,.0254728,.0256677,,.0589291,.0114344,.0541093,-.0504515,.0612832,.0439212,-.0018016,.0460244,,.0350775,-.0196926,.0264472,.0015987,.0674717,,.0040916,.0239118,.0552455,.0514533,.0549616,.0202927,.0647572,,.0470744,.0453557,.0346912,,.0828695,.075293,0,.0246926,-.0104545,-.0127813,.0266419,.026934,,.0716693,-.0228593,.0111377,.0156765,.0482186,.001399,-.0173496,.0380662,-.0132879,.0545829,.0257652,.02367442,.02386936,,.05713069,.009636,.05231094,-.05224993,.05948485,.0421228,-.0036,.04422606,,.03327914,-.02149102,.02464879,-.00019966,.06567333,,.00229324,.02211344,.05344709,.0496549,.05316318,.01849432,.06295887,,.04527603,.04355732,.03289286,,.0810711,.0734946,-.00179838,.02289423,-.01225284,-.01457972,.02484355,.02513562,,.0698709,-.02465768,.00933936,.0138781,.04642019,-.00039936,-.01914802,.03626782,-.01508628,.0527845,.02396682
1961m6,1961.493,1961,6,30,.001998,-.0292229,-.0396768,,-.0774211,-.0092426,-.0296348,-.0695645,-.0318003,.0100493,-.1015899,-.0145047,,.040854,-.0422814,-.047511,.0356567,-.0544562,,-.0193867,-.0355236,-.0112632,-.0473013,-.0321101,-.0250102,-.0791514,,-.0298408,-.0379096,-.0111621,,-.0593255,-.0430119,-.0410303,-.0183677,-.0407178,.0166604,-.0154183,-.0240878,,-.061769,-.0459392,-.025523,-.0438474,-.0446836,-.0481404,-.0558299,-.026036,-.0163327,-.0386369,.0317893,-.03122086,-.04167482,,-.07941915,-.01124058,-.03163281,-.07156246,-.03379832,.00805133,-.10358786,-.01650269,,.03885599,-.04427939,-.04950898,.03365868,-.05645419,,-.02138472,-.03752156,-.01326119,-.04929927,-.03410806,-.02700817,-.08114944,,-.03183885,-.03990758,-.01316007,,-.06132347,-.04500989,-.04302835,-.02036566,-.04271584,.01466244,-.01741626,-.0260858,,-.06376703,-.04793723,-.02752096,-.0458454,-.04668161,-.05013838,-.05782789,-.02803402,-.01833066,-.04063489,.02979132
1961m7,1961.578,1961,7,31,.0017984,.0296559,.0459289,,.0421012,.0180364,.0105442,-.0208151,.0540146,.0259601,-.0013008,.0304322,,.0594946,.0053855,-.0218367,.0212721,.0159718,,-.026344,.0382587,.0308201,-.0125788,.0169554,-.0002,.007472,,.0124225,.0331446,.064851,,.027226,.0335315,.0222506,.0283931,.0623173,-.0967312,-.03335,.0194104,,-.0171462,-.0211215,.0333381,-.0039076,-.001401,.0016986,.0282959,.0283931,.004689,-.0254204,.0848925,.0278575,.04413055,,.0403028,.01623798,.00874583,-.02261352,.05221621,.02416172,-.00309923,.02863382,,.05769619,.00358709,-.02363508,.01947375,.01417339,,-.02814236,.03646033,.02902176,-.01437716,.01515706,-.0019984,.00567363,,.01062414,.03134622,.06305259,,.0254276,.0317331,.02045223,.02659469,.06051892,-.09852957,-.03514836,.01761201,,-.01894454,-.02291988,.03153968,-.00570601,-.00319936,-.00009983,.02649749,.02659469,.00289061,-.02721876,.08309408
1961m8,1961.663,1961,8,31,.001399,.0267393,-.007629,,.0032946,-.0073268,.0328543,.003992,.0482186,.0312079,-.0927734,.0572306,,.0758493,.0193123,.0085632,.1006595,.0526873,,.0550562,.0364284,.024595,.0338215,.0574195,.0086624,.0270313,,.0175452,.0331446,.0206846,,.0460244,.0174469,.0015987,.0372958,.0025966,.1049904,.0210763,.0631626,,.0316924,.0199007,.0711106,.0532564,.0359461,.0317893,.0059821,.0974896,.1588823,-.0602809,.0104453,.02534028,-.00902805,,.00189555,-.0087258,.03145532,.002593,.04681955,.02980891,-.09417242,.05583161,,.07445029,.01791329,.00716421,.09926046,.0512883,,.05365718,.03502934,.02319603,.03242253,.05602047,.00726335,.02563232,,.01614616,.03174558,.01928557,,.04462542,.01604789,.0001997,.03589676,.0011976,.10359142,.01967731,.06176355,,.03029343,.01850164,.06971161,.05185734,.03454711,.0303903,.00458305,.0960906,.1574833,-.06167995,.00904624
